Chat,Category,Zero_Shot,One_Shot,Few_Shot
"""I just wanted to say how impressed I am with your customer service team, especially John who helped me with my issue yesterday. He was so patient and knowledgeable, it really made a big difference in resolving my problem. Keep up the great work!""",compliment,compliment,compliment,compliment
"""I'm extremely disappointed with my recent order from your company. I ordered the new smartphone and it arrived with a cracked screen! The packaging was also torn open which made me wonder if someone had touched the contents before shipping. I've tried to contact customer support but got nowhere. Your return policy is ridiculous too - 30 days to return an item that's supposed to be brand new? Unacceptable.""",complaint,complaint,complaint,complaint
"""Just wanted to let you know, I'm absolutely loving my new order! The quality of the product exceeded my expectations and the shipping was incredibly fast. You guys are doing something right!""",compliment,compliment,compliment,compliment
"""I just wanted to let you know how impressed I am with my new purchase from your company. The quality is top-notch and it exceeded all of my expectations!""",compliment,compliment,compliment,compliment
"""I just wanted to say thank you so much for helping me with my order today, your customer service was top notch and the dress I received is absolutely beautiful!""",compliment,compliment,compliment,compliment
"""I'm extremely disappointed with my recent purchase. The shirt I bought was supposed to have a specific print on it and it's completely wrong. The picture online showed a tiger but what I got has a stupid cartoon cat on it. This is ridiculous. I demand a full refund.""",complaint,complaint,complaint,complaint
"""I just wanted to say how impressed I am with my recent purchase from your store, the quality and design of the product exceeded my expectations!""",compliment,compliment,compliment,compliment
What are your return and exchange policies for online orders?,question,question,question,question
"""I just wanted to let you know how impressed I am with the service I received today! The representative was so knowledgeable and helpful, it really made my experience with your company stand out""",compliment,compliment,compliment,compliment
Do you offer any discounts for students?,question,question,question,question
"""I just received my package and it's damaged. The box was crushed and my product is broken. I'm extremely unhappy with the shipping process and expect better quality control from your company.""",complaint,complaint,complaint,complaint
"""I just wanted to let you know how impressed I am with my recent purchase from your store! The quality of the product exceeded my expectations and the packaging was top-notch. Your customer service team was also super helpful and friendly. Keep up the great work!""",compliment,compliment,compliment,compliment
"""I am extremely dissatisfied with my recent order. The jeans I received are two sizes too small and completely unwearable. I specifically asked for a larger size in my order notes and it seems like no one bothered to check before shipping. Now I have to spend extra time and money to get the right size, all because of your company's incompetence.""",complaint,complaint,complaint,complaint
"""Wow, I just got my order and it exceeded all of my expectations! The quality of your products is top-notch and the customer service has been phenomenal. You guys have definitely earned a loyal customer out of me!""",compliment,Compliment,compliment,compliment
What's the return policy on this product if I'm not satisfied?,question,question,question,complaint
Do you have any discounts available for students?,question,question,complaint,question
"""I'm extremely disappointed with my recent order from your store. I ordered the black leather jacket on Friday and it arrived yesterday but it's not what I asked for, it's the wrong color! The picture online showed a black jacket but this one is dark brown. I've tried to call customer service but no one has answered yet.""",complaint,complaint,complaint,complaint
"""I just wanted to let you know how impressed I am with my recent purchase from your store. The quality of the product exceeded my expectations and the shipping was incredibly fast! You guys are doing something right""",compliment,Compliment,compliment,compliment
Do you guys have any deals on laptops going on right now?,question,question,question,question
"""I just wanted to let you know how impressed I was with my recent purchase from your store! The quality of the product exceeded my expectations and the service I received was top-notch. Keep up the great work!""",compliment,compliment,compliment,compliment
"""I'm extremely dissatisfied with my recent purchase from your store. The dress I bought was supposed to be size 8, but it's definitely too small and doesn't fit like the picture shows. I've tried contacting customer service multiple times and no one has responded or offered any resolution. I'm asking for a full refund and want this resolved ASAP.""",complaint,complaint,complaint,complaint
What are the return and exchange policies for online orders?,question,question,question,question
What are your return and exchange policies for online orders?,question,question,question,question
"""Just wanted to say thank you so much for your help with my order, I'm absolutely loving my new product and the quality is top notch, keep up the great work!""",compliment,compliment,compliment,compliment
"""Just wanted to say how impressed I am with my recent purchase from your store, the quality of the product exceeded my expectations and the fast shipping was amazing!""",compliment,compliment,compliment,compliment
"""I just received my package and it's completely wrong. I ordered the blue shirt, not the red one. Also, it says 'final sale' on the tag so I can't even return it. Very unhappy with your company's service""",complaint,complaint,complaint,complaint
Do you guys offer free returns if I'm not satisfied with my order?,question,question,question,complaint
"""I'm extremely dissatisfied with my recent purchase from your store. The item I received was defective and does not match the description on your website. I've tried to contact your customer service department multiple times but no one has gotten back to me. I expect a higher level of quality and service from your company.""",complaint,complaint,complaint,complaint
"""I just wanted to say how impressed I was with my recent purchase from your store. The quality of the item exceeded my expectations and the customer service was top-notch. Keep up the great work!""",compliment,compliment,compliment,compliment
"""I just wanted to let you know how impressed I was with my recent purchase from your store. The quality of the product exceeded my expectations and the customer service was top notch, thank you!""",compliment,Compliment,compliment,compliment
Do you offer free returns if I'm not satisfied with my purchase?,question,question,question,question
"""I just wanted to let you know how impressed I am with the quality of your product! The way it was packaged and the attention to detail was top-notch, thank you!""",compliment,compliment,compliment,compliment
"""I just wanted to say that my experience with your company has been top-notch, from the initial consultation to the final product delivery. Your team's professionalism and attention to detail have exceeded my expectations in every way. I'm thoroughly impressed!""",compliment,compliment,compliment,compliment
"""I just wanted to let you know how impressed I am with the excellent service I received today. Your team did an amazing job of addressing my issue and I really appreciate their friendly and helpful attitudes. You guys truly have a customer for life in me now!""",compliment,compliment,compliment,compliment
"""I just wanted to let you know that I'm absolutely loving my new purchase and the exceptional customer service I received from your team was top-notch! The attention to detail and the follow-up calls were truly impressive. You've gained a loyal customer in me!""",compliment,Compliment,compliment,compliment
"""Just wanted to say I'm absolutely blown away by the excellent service I received from your team today! Your store associate was super knowledgeable and helped me find exactly what I was looking for. I'll definitely be recommending your store to all my friends and family""",compliment,compliment,compliment,compliment
What's the return policy on this product?,question,question,question,question
"""I'm extremely dissatisfied with my recent order. The item I received was not what I ordered and it's completely useless to me. Your website clearly showed the product as having a certain feature, but when it arrived it didn't have it. Now I've wasted my time and money on something that doesn't work for me. Can you please help me resolve this issue and provide a refund or replacement?""",complaint,complaint,complaint,complaint
"""I'm extremely disappointed with my recent order from your company. The product arrived damaged and now it's useless to me. I paid good money for this and expected better quality control.""",complaint,complaint,complaint,complaint
What are your business hours?,question,question,question,question
"""I'm extremely disappointed with my recent purchase from your company. The product arrived damaged and now it's not working properly. I've tried to contact customer service but no one has gotten back to me in over an hour. Can someone please help me resolve this issue?""",complaint,complaint,complaint,complaint
"""I just wanted to let you know that my experience with your company has been outstanding from start to finish. The staff was incredibly helpful and knowledgeable, and I'm so impressed with the quality of the product I received. Keep up the fantastic work!""",compliment,compliment,compliment,compliment
"""I just wanted to say thank you for the excellent service I received yesterday. Your team was so friendly and helpful, it really made my day!""",compliment,compliment,compliment,compliment
"""I just wanted to let you know that I'm absolutely thrilled with my recent purchase from your store. The quality of the product exceeded all my expectations and the shipping was incredibly fast. Your customer service team has also been super helpful and friendly. Keep up the great work!""",compliment,compliment,compliment,compliment
"""I just got my order and it's completely wrong. I ordered a blue shirt, but they sent me a red one instead. The packaging was also damaged when it arrived. Unacceptable service from your company.""",complaint,complaint,complaint,complaint
Do you offer free shipping on orders over $50?,question,question,question,question
"""I just got my package and it's completely wrong. I ordered a blue shirt and this is a red one. Your website clearly shows the picture as blue but apparently it doesn't matter because the item doesn't match at all. Can someone please help me with an exchange or refund? This is ridiculous.""",complaint,complaint,complaint,complaint
"""I just wanted to say that my new order arrived and it's absolutely beautiful, the quality is top notch and exceeded my expectations!""",compliment,compliment,compliment,compliment
What are your return and exchange policies?,question,Question,question,question
"""I just wanted to say thank you so much for the excellent service I received yesterday at your store. The sales associate was incredibly knowledgeable and helped me find exactly what I was looking for. Your company has truly earned a loyal customer in me!""",compliment,compliment,compliment,compliment
